"Corrientes","S.I.","M","2"
"Corrientes","S.I.","S.I.","1"
"Córdoba","18-29","F","13448"
"Córdoba","18-29","M","9232"
"Córdoba","18-29","S.I.","2"
"Córdoba","30-39","F","27493"
"Córdoba","30-39","M","16591"
"Córdoba","30-39","S.I.","2"
"Córdoba","40-49","F","31582"
"Córdoba","40-49","M","15872"
"Córdoba","40-49","S.I.","1"
"Córdoba","50-59","F","22445"
"Córdoba","50-59","M","10260"
"Córdoba","60-69","F","9938"
"Córdoba","60-69","M","7904"
"Córdoba","70-79","F","46843"
"Córdoba","70-79","M","34726"
"Córdoba","80-89","F","33836"
"Córdoba","80-89","M","17384"
"Córdoba","90-99","F","8344"
"Córdoba","90-99","M","2519"
"Córdoba",">=100","F","160"
"Córdoba",">=100","M","32"
"Córdoba","S.I.","F","8"
"Córdoba","S.I.","M","11"
"Entre Ríos","18-29","F","4876"
"Entre Ríos","18-29","M","2954"
"Entre Ríos","18-29","S.I.","27"
"Entre Ríos","30-39","F","11038"
"Entre Ríos","30-39","M","5829"
"Entre Ríos","30-39","S.I.","107"
"Entre Ríos","40-49","F","11081"
"Entre Ríos","40-49","M","6208"
"Entre Ríos","40-49","S.I.","71"
"Entre Ríos","50-59","F","6503"
"Entre Ríos","50-59","M","3859"
"Entre Ríos","50-59","S.I.","54"
"Entre Ríos","60-69","F","2224"
"Entre Ríos","60-69","M","1893"
"Entre Ríos","60-69","S.I.","40"
"Entre Ríos","70-79","F","10495"
"Entre Ríos","70-79","M","7842"
"Entre Ríos","70-79","S.I.","206"
"Entre Ríos","80-89","F","9974"
"Entre Ríos","80-89","M","5038"
"Entre Ríos","80-89","S.I.","460"
"Entre Ríos","90-99","F","1865"
"Entre Ríos","90-99","M","601"
"Entre Ríos","90-99","S.I.","241"
"Entre Ríos",">=100","F","39"
"Entre Ríos",">=100","M","4"
"Entre Ríos",">=100","S.I.","9"
"Entre Ríos","S.I.","M","3"
"Entre Ríos","S.I.","S.I.","1"
"Formosa","18-29","F","2147"
"Formosa","18-29","M","2397"
"Formosa","30-39","F","4215"
"Formosa","30-39","M","2983"
"Formosa","40-49","F","4550"
"Formosa","40-49","M","2588"
"Formosa","50-59","F","2886"
"Formosa","50-59","M","1741"
"Formosa","60-69","F","4647"
"Formosa","60-69","M","3936"
"Formosa","70-79","F","6605"
"Formosa","70-79","M","5306"
"Formosa","80-89","F","2787"
"Formosa","80-89","M","1624"
"Formosa","80-89","S.I.","1"
"Formosa","90-99","F","403"
"Formosa","90-99","M","170"
"Formosa",">=100","F","11"
"Formosa",">=100","M","5"
"Formosa",">=100","S.I.","1"
"Formosa","S.I.","F","3"
"Formosa","S.I.","M","2"
"Jujuy","18-29","F","2736"
"Jujuy","18-29","M","1634"
"Jujuy","18-29","S.I.","27"
"Jujuy","30-39","F","5692"
"Jujuy","30-39","M","2795"
"Jujuy","30-39","S.I.","53"
"Jujuy","40-49","F","6469"
"Jujuy","40-49","M","3794"
"Jujuy","40-49","S.I.","81"
"Jujuy","50-59","F","5426"
"Jujuy","50-59","M","3398"
"Jujuy","50-59","S.I.","52"
"Jujuy","60-69","F","4968"
"Jujuy","60-69","M","3620"
"Jujuy","60-69","S.I.","105"
"Jujuy","70-79","F","6322"
"Jujuy","70-79","M","4873"
"Jujuy","70-79","S.I.","191"
"Jujuy","80-89","F","3662"
"Jujuy","80-89","M","2463"
"Jujuy","80-89","S.I.","232"
"Jujuy","90-99","F","525"
"Jujuy","90-99","M","253"
"Jujuy","90-99","S.I.","56"
"Jujuy",">=100","F","13"
"Jujuy",">=100","M","2"
"Jujuy",">=100","S.I.","7"
"Jujuy","S.I.","M","1"
"La Pampa","18-29","F","1541"
"La Pampa","18-29","M","538"
"La Pampa","30-39","F","2948"
"La Pampa","30-39","M","1045"
"La Pampa","30-39","S.I.","1"
"La Pampa","40-49","F","4248"
"La Pampa","40-49","M","1895"
