"jurisdiccion_aplicacion","grupo_etario","sexo","nombre_dosis_generica",cantidad
"La Rioja","<12","F","Refuerzo","10"
"La Rioja","<12","M","1ra","21331"
"La Rioja","<12","M","2da","14296"
"La Rioja","<12","M","Adicional","2"
"La Rioja","<12","M","Refuerzo","12"
"La Rioja","<12","S.I.","1ra","2561"
"La Rioja","<12","S.I.","2da","1570"
"La Rioja","<12","S.I.","Adicional","1"
"La Rioja","<12","S.I.","Refuerzo","3"
"La Rioja","<12","X","1ra","2"
"La Rioja","<12","X","2da","2"
"La Rioja",">=100","F","1ra","11"
"La Rioja",">=100","F","2da","11"
"La Rioja",">=100","F","Adicional","2"
"La Rioja",">=100","F","Refuerzo","5"
"La Rioja",">=100","M","1ra","7"
"La Rioja",">=100","M","2da","4"
"La Rioja",">=100","M","Adicional","3"
"Mendoza","12-17","F","1ra","72705"
"Mendoza","12-17","F","2da","54466"
"Mendoza","12-17","F","Adicional","5"
"Mendoza","12-17","F","Refuerzo","9"
"Mendoza","12-17","F","Unica","2"
"Mendoza","12-17","M","1ra","72484"
"Mendoza","12-17","M","2da","52789"
"Mendoza","12-17","M","Adicional","6"
"Mendoza","12-17","M","Refuerzo","17"
"Mendoza","12-17","M","Unica","1"
"Mendoza","12-17","S.I.","1ra","894"
"Mendoza","12-17","S.I.","2da","323"
"Mendoza","18-29","F","1ra","161197"
"Mendoza","18-29","F","2da","129680"
"Mendoza","18-29","F","Adicional","59"
"Mendoza","18-29","F","Refuerzo","1781"
"Mendoza","18-29","F","Unica","1179"
"Mendoza","18-29","M","1ra","153882"
"Mendoza","18-29","M","2da","113439"
"Mendoza","18-29","M","Adicional","75"
"Mendoza","18-29","M","Refuerzo","1040"
"Mendoza","18-29","M","Unica","1476"
"Mendoza","18-29","S.I.","1ra","1363"
"Mendoza","18-29","S.I.","2da","708"
"Mendoza","18-29","S.I.","Adicional","1"
"Mendoza","18-29","S.I.","Refuerzo","6"
"Mendoza","18-29","S.I.","Unica","25"
"Mendoza","30-39","F","1ra","129257"
"Mendoza","30-39","F","2da","111155"
"Mendoza","30-39","F","Adicional","156"
"Mendoza","30-39","F","Refuerzo","4979"
"Mendoza","30-39","F","Unica","623"
"Mendoza","30-39","M","1ra","124088"
"Mendoza","30-39","M","2da","101016"
"Mendoza","30-39","M","Adicional","115"
"Mendoza","30-39","M","Refuerzo","2794"
"Mendoza","30-39","M","Unica","743"
"Mendoza","30-39","S.I.","1ra","1048"
"Mendoza","30-39","S.I.","2da","633"
"Mendoza","30-39","S.I.","Refuerzo","22"
"Mendoza","30-39","S.I.","Unica","7"
"Mendoza","40-49","F","1ra","118277"
"Mendoza","40-49","F","2da","105782"
"Mendoza","40-49","F","Adicional","330"
"Mendoza","40-49","F","Refuerzo","6034"
"Mendoza","40-49","F","Unica","364"
"Mendoza","40-49","M","1ra","111989"
"Mendoza","40-49","M","2da","97351"
"Mendoza","40-49","M","Adicional","197"
"Mendoza","40-49","M","Refuerzo","3164"
"Mendoza","40-49","M","Unica","484"
"Mendoza","40-49","S.I.","1ra","996"
"Mendoza","40-49","S.I.","2da","633"
"Mendoza","40-49","S.I.","Adicional","2"
"Mendoza","40-49","S.I.","Refuerzo","51"
"Mendoza","40-49","S.I.","Unica","5"
"Mendoza","50-59","F","1ra","89730"
"Mendoza","50-59","F","2da","81971"
"Mendoza","50-59","F","Adicional","4191"
"Mendoza","50-59","F","Refuerzo","3730"
"Mendoza","50-59","F","Unica","180"
"Mendoza","50-59","M","1ra","82361"
"Mendoza","50-59","M","2da","74223"
"Mendoza","50-59","M","Adicional","1775"
"Mendoza","50-59","M","Refuerzo","2323"
"Mendoza","50-59","M","Unica","212"
"Mendoza","50-59","S.I.","1ra","610"
"Mendoza","50-59","S.I.","2da","391"
"Mendoza","50-59","S.I.","Adicional","18"
"Mendoza","50-59","S.I.","Refuerzo","16"
"Mendoza","50-59","S.I.","Unica","2"
"Mendoza","60-69","F","1ra","79600"
"Mendoza","60-69","F","2da","74097"
"Mendoza","60-69","F","Adicional","11497"
"Mendoza","60-69","F","Refuerzo","8212"
"Mendoza","60-69","F","Unica","92"
"Mendoza","60-69","M","1ra","70015"
"Mendoza","60-69","M","2da","64904"
"Mendoza","60-69","M","Adicional","9352"
"Mendoza","60-69","M","Refuerzo","7062"
"Mendoza","60-69","M","Unica","135"
"Mendoza","60-69","S.I.","1ra","692"
"Mendoza","60-69","S.I.","2da","515"
"Mendoza","60-69","S.I.","Adicional","103"
"Mendoza","60-69","S.I.","Refuerzo","67"
"Mendoza","60-69","S.I.","Unica","2"
"Mendoza","70-79","F","1ra","57811"
"Mendoza","70-79","F","2da","54243"
"Mendoza","70-79","F","Adicional","4550"
"Mendoza","70-79","F","Refuerzo","14720"
"Mendoza","70-79","F","Unica","58"
"Mendoza","70-79","M","1ra","44885"
"Mendoza","70-79","M","2da","41762"
"Mendoza","70-79","M","Adicional","3813"
"Mendoza","70-79","M","Refuerzo","12205"
"Mendoza","70-79","M","Unica","73"
"Mendoza","70-79","S.I.","1ra","611"
"Mendoza","70-79","S.I.","2da","458"
"Mendoza","70-79","S.I.","Adicional","37"
"Mendoza","70-79","S.I.","Refuerzo","117"
"Mendoza","70-79","S.I.","Unica","1"
"Mendoza","80-89","F","1ra","24335"
"Mendoza","80-89","F","2da","22448"
"Mendoza","80-89","F","Adicional","1286"
"Mendoza","80-89","F","Refuerzo","5597"
"Mendoza","80-89","F","Unica","35"
"Mendoza","80-89","M","1ra","14483"
"Mendoza","80-89","M","2da","13327"
"Mendoza","80-89","M","Adicional","917"
"Mendoza","80-89","M","Refuerzo","4006"
"Mendoza","80-89","M","Unica","18"
"Mendoza","80-89","S.I.","1ra","373"
"Mendoza","80-89","S.I.","2da","283"
"Mendoza","80-89","S.I.","Adicional","12"
"Mendoza","80-89","S.I.","Refuerzo","55"
"Mendoza","80-89","S.I.","Unica","1"
"Mendoza","90-99","F","1ra","4271"
"Mendoza","90-99","F","2da","3799"
"Mendoza","90-99","F","Adicional","164"
"Mendoza","90-99","F","Refuerzo","896"
"Mendoza","90-99","F","Unica","10"
"Mendoza","90-99","M","1ra","1719"
"Mendoza","90-99","M","2da","1518"
"Mendoza","90-99","M","Adicional","74"
"Mendoza","90-99","M","Refuerzo","402"
"Mendoza","90-99","M","Unica","2"
"Mendoza","90-99","S.I.","1ra","150"
"Mendoza","90-99","S.I.","2da","97"
"Mendoza","90-99","S.I.","Adicional","5"
"Mendoza","90-99","S.I.","Refuerzo","25"
"Mendoza","90-99","S.I.","Unica","1"
"Mendoza","<12","F","1ra","82561"
"Mendoza","<12","F","2da","32315"
"Mendoza","<12","F","Adicional","2"
"Mendoza","<12","F","Refuerzo","31"
"Mendoza","<12","M","1ra","84213"
"Mendoza","<12","M","2da","32596"
"Mendoza","<12","M","Adicional","3"
"Mendoza","<12","M","Refuerzo","30"
"Mendoza","<12","S.I.","1ra","2055"
"Mendoza","<12","S.I.","2da","455"
"Mendoza","<12","S.I.","Refuerzo","1"
"Mendoza",">=100","F","1ra","78"
"Mendoza",">=100","F","2da","64"
"Mendoza",">=100","F","Adicional","1"
"Mendoza",">=100","F","Refuerzo","22"
"Mendoza",">=100","F","Unica","1"
"Mendoza",">=100","M","1ra","32"
"Mendoza",">=100","M","2da","18"
"Mendoza",">=100","M","Adicional","1"
"Mendoza",">=100","M","Refuerzo","5"
"Mendoza",">=100","S.I.","1ra","11"
"Mendoza",">=100","S.I.","2da","5"
"Mendoza",">=100","S.I.","Refuerzo","3"
"Mendoza","S.I.","F","1ra","9"
"Mendoza","S.I.","M","1ra","2"
"Misiones","12-17","F","1ra","38356"
"Misiones","12-17","F","2da","23855"
"Misiones","12-17","F","Adicional","685"
"Misiones","12-17","F","Refuerzo","294"
"Misiones","12-17","F","Unica","17"
"Misiones","12-17","M","1ra","35168"
"Misiones","12-17","M","2da","20709"
"Misiones","12-17","M","Adicional","571"
"Misiones","12-17","M","Refuerzo","234"
"Misiones","12-17","M","Unica","35"
"Misiones","18-29","F","1ra","104152"
"Misiones","18-29","F","2da","74311"
"Misiones","18-29","F","Adicional","6080"
"Misiones","18-29","F","Refuerzo","2150"
"Misiones","18-29","F","Unica","876"
"Misiones","18-29","M","1ra","90272"
"Misiones","18-29","M","2da","55226"
"Misiones","18-29","M","Adicional","3598"
"Misiones","18-29","M","Refuerzo","1135"
"Misiones","18-29","M","Unica","1123"
"Misiones","30-39","F","1ra","74878"
"Misiones","30-39","F","2da","60581"
"Misiones","30-39","F","Adicional","7798"
"Misiones","30-39","F","Refuerzo","2833"
"Misiones","30-39","F","Unica","444"
"Misiones","30-39","M","1ra","67675"
"Misiones","30-39","M","2da","49497"
"Misiones","30-39","M","Adicional","4757"
"Misiones","30-39","M","Refuerzo","1671"
"Misiones","30-39","M","Unica","531"
"Misiones","30-39","X","Adicional","1"
"Misiones","40-49","F","1ra","62704"
"Misiones","40-49","F","2da","54539"
"Misiones","40-49","F","Adicional","9579"
"Misiones","40-49","F","Refuerzo","2662"
"Misiones","40-49","F","Unica","300"
"Misiones","40-49","M","1ra","58183"
"Misiones","40-49","M","2da","47184"
"Misiones","40-49","M","Adicional","6672"
"Misiones","40-49","M","Refuerzo","1733"
"Misiones","40-49","M","Unica","373"
"Misiones","40-49","S.I.","1ra","3"
"Misiones","50-59","F","1ra","48440"
"Misiones","50-59","F","2da","43885"
"Misiones","50-59","F","Adicional","12089"
"Misiones","50-59","F","Refuerzo","1428"
"Misiones","50-59","F","Unica","174"
"Misiones","50-59","M","1ra","45324"
"Misiones","50-59","M","2da","39375"
"Misiones","50-59","M","Adicional","9536"
"Misiones","50-59","M","Refuerzo","937"
"Misiones","50-59","M","Unica","236"
"Misiones","50-59","S.I.","1ra","1"
"Misiones","60-69","F","1ra","38086"
"Misiones","60-69","F","2da","35561"
"Misiones","60-69","F","Adicional","12326"
"Misiones","60-69","F","Refuerzo","746"
"Misiones","60-69","F","Unica","97"
"Misiones","60-69","M","1ra","36526"
"Misiones","60-69","M","2da","33309"
"Misiones","60-69","M","Adicional","10926"
"Misiones","60-69","M","Refuerzo","657"
"Misiones","60-69","M","Unica","119"
"Misiones","70-79","F","1ra","19753"
"Misiones","70-79","F","2da","18425"
"Misiones","70-79","F","Adicional","6814"
"Misiones","70-79","F","Refuerzo","367"
"Misiones","70-79","F","Unica","40"
"Misiones","70-79","M","1ra","17355"
"Misiones","70-79","M","2da","16217"
"Misiones","70-79","M","Adicional","6452"
"Misiones","70-79","M","Refuerzo","374"
"Misiones","70-79","M","Unica","52"
"Misiones","80-89","F","1ra","7542"
"Misiones","80-89","F","2da","6831"
"Misiones","80-89","F","Adicional","2155"
"Misiones","80-89","F","Refuerzo","98"
"Misiones","80-89","F","Unica","24"
"Misiones","80-89","M","1ra","5087"
"Misiones","80-89","M","2da","4570"
"Misiones","80-89","M","Adicional","1651"
"Misiones","80-89","M","Refuerzo","95"
"Misiones","80-89","M","Unica","15"
"Misiones","90-99","F","1ra","1021"
"Misiones","90-99","F","2da","908"
"Misiones","90-99","F","Adicional","272"
"Misiones","90-99","F","Refuerzo","15"
"Misiones","90-99","F","Unica","3"
"Misiones","90-99","M","1ra","523"
"Misiones","90-99","M","2da","471"
"Misiones","90-99","M","Adicional","146"
"Misiones","90-99","M","Refuerzo","9"
"Misiones","90-99","M","Unica","2"
"Misiones","<12","F","1ra","31489"
"Misiones","<12","F","2da","10871"
"Misiones","<12","F","Adicional","23"
"Misiones","<12","F","Refuerzo","33"
"Misiones","<12","F","Unica","4"
"Misiones","<12","M","1ra","31388"
"Misiones","<12","M","2da","10541"
"Misiones","<12","M","Adicional","25"
"Misiones","<12","M","Refuerzo","23"
"Misiones","<12","M","Unica","3"
"Misiones",">=100","F","1ra","28"
"Misiones",">=100","F","2da","21"
"Misiones",">=100","F","Adicional","5"
"Misiones",">=100","M","1ra","7"
"Misiones",">=100","M","2da","5"
"Misiones","S.I.","M","1ra","2"
"Misiones","S.I.","M","2da","1"
"Neuquén","12-17","F","1ra","22401"
"Neuquén","12-17","F","2da","14482"
"Neuquén","12-17","F","Adicional","5"
"Neuquén","12-17","F","Unica","2"
"Neuquén","12-17","M","1ra","21972"
"Neuquén","12-17","M","2da","13947"
"Neuquén","12-17","M","Adicional","3"
"Neuquén","12-17","M","Unica","1"
"Neuquén","18-29","F","1ra","56062"
"Neuquén","18-29","F","2da","43306"
"Neuquén","18-29","F","Adicional","70"
"Neuquén","18-29","F","Refuerzo","673"
"Neuquén","18-29","F","Unica","1011"
"Neuquén","18-29","M","1ra","54246"
"Neuquén","18-29","M","2da","38832"
"Neuquén","18-29","M","Adicional","53"
"Neuquén","18-29","M","Refuerzo","310"
"Neuquén","18-29","M","Unica","1238"
"Neuquén","18-29","S.I.","1ra","1"
"Neuquén","18-29","S.I.","2da","2"
"Neuquén","30-39","F","1ra","51566"
"Neuquén","30-39","F","2da","42846"
"Neuquén","30-39","F","Adicional","138"
"Neuquén","30-39","F","Refuerzo","2134"
"Neuquén","30-39","F","Unica","522"
"Neuquén","30-39","M","1ra","50944"
"Neuquén","30-39","M","2da","40426"
"Neuquén","30-39","M","Adicional","99"
"Neuquén","30-39","M","Refuerzo","906"
"Neuquén","30-39","M","Unica","671"
"Neuquén","30-39","S.I.","1ra","1"
"Neuquén","40-49","F","1ra","45999"
"Neuquén","40-49","F","2da","39067"
"Neuquén","40-49","F","Adicional","283"
"Neuquén","40-49","F","Refuerzo","2304"
"Neuquén","40-49","F","Unica","273"
"Neuquén","40-49","M","1ra","45908"
"Neuquén","40-49","M","2da","37864"
"Neuquén","40-49","M","Adicional","202"
"Neuquén","40-49","M","Refuerzo","1346"
"Neuquén","40-49","M","Unica","353"
"Neuquén","50-59","F","1ra","33906"
"Neuquén","50-59","F","2da","30194"
"Neuquén","50-59","F","Adicional","2183"
"Neuquén","50-59","F","Refuerzo","1452"
"Neuquén","50-59","F","Unica","121"
"Neuquén","50-59","M","1ra","32563"
"Neuquén","50-59","M","2da","28360"
"Neuquén","50-59","M","Adicional","1609"
"Neuquén","50-59","M","Refuerzo","1009"
"Neuquén","50-59","M","Unica","150"
"Neuquén","60-69","F","1ra","25314"
"Neuquén","60-69","F","2da","23748"
"Neuquén","60-69","F","Adicional","3590"
"Neuquén","60-69","F","Refuerzo","2331"
"Neuquén","60-69","F","Unica","68"
"Neuquén","60-69","M","1ra","23738"
"Neuquén","60-69","M","2da","21975"
"Neuquén","60-69","M","Adicional","3231"
"Neuquén","60-69","M","Refuerzo","2084"
"Neuquén","60-69","M","Unica","68"
"Neuquén","70-79","F","1ra","14457"
"Neuquén","70-79","F","2da","13941"
"Neuquén","70-79","F","Adicional","1549"
"Neuquén","70-79","F","Refuerzo","3341"
"Neuquén","70-79","F","Unica","22"
"Neuquén","70-79","M","1ra","12472"
"Neuquén","70-79","M","2da","11972"
"Neuquén","70-79","M","Adicional","1376"
"Neuquén","70-79","M","Refuerzo","2999"
"Neuquén","70-79","M","Unica","24"
"Neuquén","80-89","F","1ra","5650"
"Neuquén","80-89","F","2da","5371"
"Neuquén","80-89","F","Adicional","672"
"Neuquén","80-89","F","Refuerzo","1411"
"Neuquén","80-89","F","Unica","5"
"Neuquén","80-89","M","1ra","3618"
"Neuquén","80-89","M","2da","3458"
"Neuquén","80-89","M","Adicional","456"
"Neuquén","80-89","M","Refuerzo","983"
"Neuquén","80-89","M","Unica","4"
"Neuquén","80-89","S.I.","1ra","1"
"Neuquén","90-99","F","1ra","1032"
"Neuquén","90-99","F","2da","956"
"Neuquén","90-99","F","Adicional","96"
"Neuquén","90-99","F","Refuerzo","266"
"Neuquén","90-99","F","Unica","2"
"Neuquén","90-99","M","1ra","430"
"Neuquén","90-99","M","2da","402"
"Neuquén","90-99","M","Adicional","42"
"Neuquén","90-99","M","Refuerzo","96"
"Neuquén","90-99","S.I.","1ra","2"
"Neuquén","90-99","S.I.","2da","1"
"Neuquén","<12","F","1ra","26214"
"Neuquén","<12","F","2da","14704"
"Neuquén","<12","F","Adicional","1"
"Neuquén","<12","M","1ra","26312"
"Neuquén","<12","M","2da","14629"
"Neuquén","<12","M","Adicional","2"
"Neuquén",">=100","F","1ra","45"
"Neuquén",">=100","F","2da","34"
"Neuquén",">=100","F","Adicional","5"
"Neuquén",">=100","F","Refuerzo","7"
"Neuquén",">=100","F","Unica","1"
"Neuquén",">=100","M","1ra","9"
"Neuquén",">=100","M","2da","10"
"Neuquén",">=100","M","Adicional","2"
"Río Negro","12-17","F","1ra","27790"
"Río Negro","12-17","F","2da","20886"
"Río Negro","12-17","F","Adicional","58"
"Río Negro","12-17","F","Refuerzo","53"
"Río Negro","12-17","F","Unica","1"
"Río Negro","12-17","M","1ra","28009"
"Río Negro","12-17","M","2da","20112"
"Río Negro","12-17","M","Adicional","87"
"Río Negro","12-17","M","Refuerzo","59"
"Río Negro","12-17","M","Unica","1"
"Río Negro","12-17","S.I.","1ra","789"
"Río Negro","12-17","S.I.","2da","481"
"Río Negro","12-17","S.I.","Refuerzo","1"
"Río Negro","18-29","F","1ra","64586"
"Río Negro","18-29","F","2da","53967"
"Río Negro","18-29","F","Adicional","309"
"Río Negro","18-29","F","Refuerzo","3312"
"Río Negro","18-29","F","Unica","329"
"Río Negro","18-29","M","1ra","62352"
"Río Negro","18-29","M","2da","47261"
"Río Negro","18-29","M","Adicional","234"
"Río Negro","18-29","M","Refuerzo","2174"
"Río Negro","18-29","M","Unica","622"
"Río Negro","18-29","S.I.","1ra","1338"
"Río Negro","18-29","S.I.","2da","956"
"Río Negro","18-29","S.I.","Adicional","7"
"Río Negro","18-29","S.I.","Refuerzo","31"
"Río Negro","18-29","S.I.","Unica","23"
"Río Negro","30-39","F","1ra","54720"
"Río Negro","30-39","F","2da","49181"
"Río Negro","30-39","F","Adicional","453"
"Río Negro","30-39","F","Refuerzo","4798"
"Río Negro","30-39","F","Unica","233"
"Río Negro","30-39","M","1ra","52219"
"Río Negro","30-39","M","2da","43301"
"Río Negro","30-39","M","Adicional","314"
"Río Negro","30-39","M","Refuerzo","2647"
"Río Negro","30-39","M","Unica","388"
"Río Negro","30-39","S.I.","1ra","936"
"Río Negro","30-39","S.I.","2da","719"
"Río Negro","30-39","S.I.","Adicional","4"
"Río Negro","30-39","S.I.","Refuerzo","38"
"Río Negro","30-39","S.I.","Unica","5"
"Río Negro","40-49","F","1ra","48618"
"Río Negro","40-49","F","2da","45721"
"Río Negro","40-49","F","Adicional","739"
"Río Negro","40-49","F","Refuerzo","4865"
"Río Negro","40-49","F","Unica","145"
"Río Negro","40-49","M","1ra","46954"
"Río Negro","40-49","M","2da","42347"
"Río Negro","40-49","M","Adicional","583"
"Río Negro","40-49","M","Refuerzo","2580"
"Río Negro","40-49","M","Unica","234"
"Río Negro","40-49","S.I.","1ra","1083"
"Río Negro","40-49","S.I.","2da","925"
"Río Negro","40-49","S.I.","Adicional","10"
"Río Negro","40-49","S.I.","Refuerzo","69"
"Río Negro","40-49","S.I.","Unica","3"
"Río Negro","50-59","F","1ra","36746"
"Río Negro","50-59","F","2da","35350"
"Río Negro","50-59","F","Adicional","4340"
"Río Negro","50-59","F","Refuerzo","2551"
"Río Negro","50-59","F","Unica","85"
"Río Negro","50-59","M","1ra","35709"
"Río Negro","50-59","M","2da","33621"
"Río Negro","50-59","M","Adicional","2828"
"Río Negro","50-59","M","Refuerzo","1391"
"Río Negro","50-59","M","Unica","126"
"Río Negro","50-59","S.I.","1ra","784"
"Río Negro","50-59","S.I.","2da","695"
"Río Negro","50-59","S.I.","Adicional","53"
"Río Negro","50-59","S.I.","Refuerzo","35"
"Río Negro","50-59","S.I.","Unica","4"
"Río Negro","60-69","F","1ra","29671"
"Río Negro","60-69","F","2da","29060"
"Río Negro","60-69","F","Adicional","9361"
"Río Negro","60-69","F","Refuerzo","2342"
"Río Negro","60-69","F","Unica","58"
"Río Negro","60-69","M","1ra","28112"
"Río Negro","60-69","M","2da","27217"
"Río Negro","60-69","M","Adicional","7923"
"Río Negro","60-69","M","Refuerzo","2054"
"Río Negro","60-69","M","Unica","93"
"Río Negro","60-69","S.I.","1ra","491"
"Río Negro","60-69","S.I.","2da","451"
"Río Negro","60-69","S.I.","Adicional","123"
"Río Negro","60-69","S.I.","Refuerzo","35"
"Río Negro","60-69","S.I.","Unica","4"
"Río Negro","70-79","F","1ra","18781"
"Río Negro","70-79","F","2da","18363"
"Río Negro","70-79","F","Adicional","5324"
"Río Negro","70-79","F","Refuerzo","2781"
"Río Negro","70-79","F","Unica","48"
"Río Negro","70-79","M","1ra","16285"
"Río Negro","70-79","M","2da","15804"
"Río Negro","70-79","M","Adicional","4748"
"Río Negro","70-79","M","Refuerzo","2360"
"Río Negro","70-79","M","Unica","37"
"Río Negro","70-79","S.I.","1ra","539"
"Río Negro","70-79","S.I.","2da","477"
"Río Negro","70-79","S.I.","Adicional","109"
"Río Negro","70-79","S.I.","Refuerzo","74"
"Río Negro","70-79","S.I.","Unica","1"
"Río Negro","80-89","F","1ra","7985"
"Río Negro","80-89","F","2da","7769"
"Río Negro","80-89","F","Adicional","2083"
"Río Negro","80-89","F","Refuerzo","1200"
"Río Negro","80-89","F","Unica","19"
"Río Negro","80-89","M","1ra","5112"
"Río Negro","80-89","M","2da","4947"
"Río Negro","80-89","M","Adicional","1475"
"Río Negro","80-89","M","Refuerzo","849"
"Río Negro","80-89","M","Unica","14"
"Río Negro","80-89","S.I.","1ra","343"
"Río Negro","80-89","S.I.","2da","302"
"Río Negro","80-89","S.I.","Adicional","66"
"Río Negro","80-89","S.I.","Refuerzo","49"
"Río Negro","90-99","F","1ra","1552"
"Río Negro","90-99","F","2da","1463"
"Río Negro","90-99","F","Adicional","391"
"Río Negro","90-99","F","Refuerzo","250"
"Río Negro","90-99","F","Unica","7"
"Río Negro","90-99","M","1ra","641"
"Río Negro","90-99","M","2da","603"
"Río Negro","90-99","M","Adicional","160"
"Río Negro","90-99","M","Refuerzo","103"
"Río Negro","90-99","M","Unica","3"
"Río Negro","90-99","S.I.","1ra","122"
"Río Negro","90-99","S.I.","2da","108"
"Río Negro","90-99","S.I.","Adicional","23"
"Río Negro","90-99","S.I.","Refuerzo","9"
"Río Negro","<12","F","1ra","34995"
"Río Negro","<12","F","2da","21441"
"Río Negro","<12","F","Refuerzo","8"
"Río Negro","<12","M","1ra","35036"
"Río Negro","<12","M","2da","20966"
"Río Negro","<12","M","Adicional","2"
"Río Negro","<12","M","Refuerzo","14"
"Río Negro","<12","S.I.","1ra","2443"
"Río Negro","<12","S.I.","2da","1397"
"Río Negro","<12","S.I.","Adicional","1"
"Río Negro","<12","X","1ra","1"
"Río Negro",">=100","F","1ra","37"
"Río Negro",">=100","F","2da","41"
"Río Negro",">=100","F","Adicional","12"
"Río Negro",">=100","F","Refuerzo","3"
"Río Negro",">=100","M","1ra","11"
"Río Negro",">=100","M","2da","9"
"Río Negro",">=100","M","Adicional","6"
"Río Negro",">=100","S.I.","1ra","6"
"Río Negro",">=100","S.I.","2da","5"
"Río Negro",">=100","S.I.","Adicional","3"
"Salta","12-17","F","1ra","49139"
"Salta","12-17","F","2da","26936"
"Salta","12-17","F","Adicional","59"
"Salta","12-17","F","Refuerzo","7"
"Salta","12-17","F","Unica","2"
"Salta","12-17","M","1ra","46445"
"Salta","12-17","M","2da","23709"
"Salta","12-17","M","Adicional","59"
"Salta","12-17","M","Refuerzo","19"
"Salta","12-17","M","Unica","3"
"Salta","12-17","S.I.","1ra","750"
"Salta","12-17","S.I.","2da","336"
"Salta","12-17","X","1ra","2"
"Salta","18-29","F","1ra","131340"
"Salta","18-29","F","2da","97651"
"Salta","18-29","F","Adicional","443"
"Salta","18-29","F","Refuerzo","1183"
"Salta","18-29","F","Unica","219"
"Salta","18-29","M","1ra","125903"
"Salta","18-29","M","2da","83906"
"Salta","18-29","M","Adicional","328"
"Salta","18-29","M","Refuerzo","953"
"Salta","18-29","M","Unica","421"
"Salta","18-29","S.I.","1ra","1134"
"Salta","18-29","S.I.","2da","658"
"Salta","18-29","S.I.","Adicional","1"
"Salta","18-29","S.I.","Refuerzo","4"
"Salta","18-29","S.I.","Unica","5"
"Salta","30-39","F","1ra","90338"
"Salta","30-39","F","2da","72150"
"Salta","30-39","F","Adicional","766"
"Salta","30-39","F","Refuerzo","3376"
"Salta","30-39","F","Unica","134"
"Salta","30-39","M","1ra","85197"
"Salta","30-39","M","2da","63122"
"Salta","30-39","M","Adicional","534"
"Salta","30-39","M","Refuerzo","2390"
"Salta","30-39","M","Unica","216"
"Salta","30-39","S.I.","1ra","856"
"Salta","30-39","S.I.","2da","489"
"Salta","30-39","S.I.","Adicional","3"
"Salta","30-39","S.I.","Refuerzo","9"
"Salta","30-39","S.I.","Unica","3"
"Salta","40-49","F","1ra","78326"
"Salta","40-49","F","2da","67259"
"Salta","40-49","F","Adicional","1292"
"Salta","40-49","F","Refuerzo","4541"
"Salta","40-49","F","Unica","96"
"Salta","40-49","M","1ra","73418"
"Salta","40-49","M","2da","59832"
"Salta","40-49","M","Adicional","942"
"Salta","40-49","M","Refuerzo","3075"
"Salta","40-49","M","Unica","145"
"Salta","40-49","S.I.","1ra","1506"
"Salta","40-49","S.I.","2da","1072"
"Salta","40-49","S.I.","Adicional","4"
"Salta","40-49","S.I.","Refuerzo","31"
"Salta","40-49","S.I.","Unica","3"
"Salta","50-59","F","1ra","56154"
"Salta","50-59","F","2da","49838"
"Salta","50-59","F","Adicional","3915"
"Salta","50-59","F","Refuerzo","3070"
"Salta","50-59","F","Unica","47"
"Salta","50-59","M","1ra","53215"
"Salta","50-59","M","2da","45744"
"Salta","50-59","M","Adicional","2896"
"Salta","50-59","M","Refuerzo","1935"
"Salta","50-59","M","Unica","64"
"Salta","50-59","S.I.","1ra","1253"
"Salta","50-59","S.I.","2da","926"
"Salta","50-59","S.I.","Adicional","36"
"Salta","50-59","S.I.","Refuerzo","19"
"Salta","50-59","S.I.","Unica","1"
"Salta","60-69","F","1ra","44243"
"Salta","60-69","F","2da","40554"
"Salta","60-69","F","Adicional","5384"
"Salta","60-69","F","Refuerzo","3122"
"Salta","60-69","F","Unica","27"
"Salta","60-69","M","1ra","40425"
"Salta","60-69","M","2da","36570"
"Salta","60-69","M","Adicional","4653"
"Salta","60-69","M","Refuerzo","2850"
"Salta","60-69","M","Unica","40"
"Salta","60-69","S.I.","1ra","674"
"Salta","60-69","S.I.","2da","561"
"Salta","60-69","S.I.","Adicional","48"
"Salta","60-69","S.I.","Refuerzo","24"
"Salta","70-79","F","1ra","26985"
"Salta","70-79","F","2da","24871"
"Salta","70-79","F","Adicional","4230"
"Salta","70-79","F","Refuerzo","3343"
"Salta","70-79","F","Unica","13"
"Salta","70-79","M","1ra","22127"
"Salta","70-79","M","2da","20225"
"Salta","70-79","M","Adicional","3747"
"Salta","70-79","M","Refuerzo","2917"
"Salta","70-79","M","Unica","15"
"Salta","70-79","S.I.","1ra","277"
"Salta","70-79","S.I.","2da","216"
"Salta","70-79","S.I.","Adicional","30"
"Salta","70-79","S.I.","Refuerzo","36"
"Salta","70-79","S.I.","Unica","1"
"Salta","80-89","F","1ra","10607"
"Salta","80-89","F","2da","9439"
"Salta","80-89","F","Adicional","1367"
"Salta","80-89","F","Refuerzo","1239"
"Salta","80-89","F","Unica","7"
"Salta","80-89","M","1ra","7049"
"Salta","80-89","M","2da","6314"
"Salta","80-89","M","Adicional","1069"
"Salta","80-89","M","Refuerzo","907"
"Salta","80-89","M","Unica","6"
"Salta","80-89","S.I.","1ra","197"
"Salta","80-89","S.I.","2da","161"
"Salta","80-89","S.I.","Adicional","14"
"Salta","80-89","S.I.","Refuerzo","14"
"Salta","90-99","F","1ra","1763"
"Salta","90-99","F","2da","1562"
"Salta","90-99","F","Adicional","205"
